round_id,camel_c_0_location,camel_c_0_stack_location,camel_c_0_yet_to_move,camel_c_1_location,camel_c_1_stack_location,camel_c_1_yet_to_move,camel_c_2_location,camel_c_2_stack_location,camel_c_2_yet_to_move,camel_c_3_location,camel_c_3_stack_location,camel_c_3_yet_to_move,camel_c_4_location,camel_c_4_stack_location,camel_c_4_yet_to_move,player_0_coins,player_1_coins,player_2_coins,player_3_coins,game_id,active_player,action_type,camel,ev,trap_type,trap_location,player_1_trap_location,player_1_trap_type,distance,bet_type,player_2_trap_location,player_2_trap_type,player_0_trap_location,player_0_trap_type,player_3_trap_location,player_3_trap_type
0,1,0,True,2,0,True,2,1,True,0,0,True,0,1,True,2,2,2,2,0,,,,,,,,,,,,,,,,
1,1,0,True,2,0,True,2,1,True,0,0,True,0,1,True,2,2,2,2,0,0.0,round_winner_bet,c_2,1.722,,,,,,,,,,,,
2,1,0,True,2,0,True,2,1,True,0,0,True,0,1,True,2,2,2,2,0,1.0,move_trap,,1.436,-1.0,3.0,3.0,-1.0,,,,,,,,
3,1,0,True,2,0,True,2,1,True,0,0,True,0,1,True,2,2,2,2,0,2.0,round_winner_bet,c_1,0.792,,,3.0,-1.0,,,,,,,,
4,1,0,True,2,0,True,2,1,True,0,0,True,0,1,True,2,2,2,2,0,3.0,round_winner_bet,c_2,0.884,,,3.0,-1.0,,,,,,,,
5,2,2,False,2,0,True,2,1,True,0,0,True,0,1,True,3,2,2,2,0,0.0,move_camel,c_0,0.75,,,3.0,-1.0,1.0,,,,,,,
6,2,2,False,2,0,True,2,1,True,0,0,True,0,1,True,3,2,2,2,0,1.0,round_winner_bet,c_0,2.24,,,3.0,-1.0,,,,,,,,
7,2,2,False,2,0,True,2,1,True,0,0,True,0,1,True,3,2,2,2,0,2.0,round_winner_bet,c_0,1.262,,,3.0,-1.0,,,,,,,,
8,2,2,False,2,0,True,2,1,True,0,0,True,0,1,True,3,2,2,2,0,3.0,game_bet,c_3,1.345,,,3.0,-1.0,,lose,,,,,,
9,2,2,False,2,0,True,2,1,True,0,0,True,0,1,True,3,2,2,2,0,0.0,game_bet,c_3,1.15875,,,3.0,-1.0,,lose,,,,,,
10,2,2,False,2,0,True,2,1,True,0,0,True,0,1,True,3,2,2,2,0,1.0,game_bet,c_3,1.3212500000000003,,,3.0,-1.0,,lose,,,,,,
11,2,2,False,2,0,True,2,1,True,0,0,True,0,1,True,3,2,2,2,0,2.0,game_bet,c_3,1.3587500000000001,,,3.0,-1.0,,lose,,,,,,
12,2,2,False,2,0,True,2,1,True,0,0,True,0,1,True,3,2,2,2,0,3.0,round_winner_bet,c_0,0.8939999999999999,,,3.0,-1.0,,,,,,,,
13,2,2,False,2,0,True,2,1,True,2,3,False,2,4,True,4,2,2,2,0,0.0,move_camel,c_3,0.75,,,3.0,-1.0,2.0,,,,,,,
14,2,2,False,2,0,True,2,1,True,2,3,False,2,4,True,4,2,2,2,0,1.0,round_winner_bet,c_4,2.132,,,3.0,-1.0,,,,,,,,
15,2,2,False,2,0,True,2,1,True,2,3,False,2,4,True,4,2,2,2,0,2.0,round_winner_bet,c_3,1.6940000000000002,,,3.0,-1.0,,,,,,,,
