round_id,camel_c_0_location,camel_c_0_stack_location,camel_c_0_yet_to_move,camel_c_1_location,camel_c_1_stack_location,camel_c_1_yet_to_move,camel_c_2_location,camel_c_2_stack_location,camel_c_2_yet_to_move,camel_c_3_location,camel_c_3_stack_location,camel_c_3_yet_to_move,camel_c_4_location,camel_c_4_stack_location,camel_c_4_yet_to_move,player_0_coins,player_1_coins,player_2_coins,player_3_coins,active_player,action_type,camel,trap_type,trap_location,player_1_trap_location,player_1_trap_type,distance,player_3_trap_location,player_3_trap_type,bet_type,player_0_trap_location,player_0_trap_type
0,0,1,True,1,1,True,0,0,True,0,2,True,1,0,True,2,2,2,2,,,,,,,,,,,,,
1,0,1,True,1,1,True,0,0,True,0,2,True,1,0,True,2,2,2,2,0.0,round_winner_bet,c_3,,,,,,,,,,
2,0,1,True,1,1,True,0,0,True,0,2,True,1,0,True,2,2,2,2,1.0,move_trap,,-1.0,3.0,3.0,-1.0,,,,,,
3,0,1,True,1,1,True,0,0,True,0,2,True,1,0,True,2,2,2,2,2.0,round_winner_bet,c_1,,,3.0,-1.0,,,,,,
4,0,1,True,1,1,True,0,0,True,2,0,False,1,0,True,2,3,2,3,3.0,move_camel,c_3,,,3.0,-1.0,2.0,,,,,
5,0,1,True,1,1,True,0,0,True,2,0,False,1,0,True,2,3,2,3,0.0,round_winner_bet,c_4,,,3.0,-1.0,,,,,,
6,0,1,True,4,0,False,0,0,True,2,0,False,1,0,True,2,4,2,3,1.0,move_camel,c_1,,,3.0,-1.0,3.0,,,,,
7,0,1,True,4,0,False,0,0,True,2,0,False,1,0,True,2,4,2,3,2.0,round_winner_bet,c_1,,,3.0,-1.0,,,,,,
8,0,1,True,4,0,False,0,0,True,2,0,False,1,0,True,2,4,2,3,3.0,round_winner_bet,c_1,,,3.0,-1.0,,,,,,
9,0,1,True,4,0,False,0,0,True,2,0,False,4,1,False,3,4,2,3,0.0,move_camel,c_4,,,3.0,-1.0,3.0,,,,,
