round_id,camel_c_0_location,camel_c_0_stack_location,camel_c_0_yet_to_move,camel_c_1_location,camel_c_1_stack_location,camel_c_1_yet_to_move,camel_c_2_location,camel_c_2_stack_location,camel_c_2_yet_to_move,camel_c_3_location,camel_c_3_stack_location,camel_c_3_yet_to_move,camel_c_4_location,camel_c_4_stack_location,camel_c_4_yet_to_move,player_0_coins,player_1_coins,player_2_coins,player_3_coins,active_player,action_type,camel,bet_type,distance,trap_type,trap_location,player_1_trap_location,player_1_trap_type,player_3_trap_location,player_3_trap_type,player_0_trap_location,player_0_trap_type,game_id,player_0_name,player_0_final,player_1_name,player_1_final,player_2_name,player_2_final,player_3_name,player_3_final,winners,player_2_trap_location,player_2_trap_type
0,1,0,True,1,2,True,2,0,True,0,0,True,1,1,True,2,2,2,2,,,,,,,,,,,,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
1,1,0,True,1,2,True,2,0,True,0,0,True,1,1,True,2,2,2,2,0.0,round_winner_bet,c_1,,,,,,,,,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
2,1,0,True,1,2,True,2,0,True,0,0,True,1,1,True,2,2,2,2,1.0,game_bet,c_1,win,,,,,,,,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
3,1,0,True,4,0,False,2,0,True,0,0,True,1,1,True,2,2,3,2,2.0,move_camel,c_1,,3.0,,,,,,,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
4,1,0,True,4,0,False,2,0,True,0,0,True,1,1,True,2,2,3,2,3.0,game_bet,c_1,lose,,,,,,,,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
5,1,0,True,4,0,False,2,0,True,0,0,True,1,1,True,2,2,3,2,0.0,round_winner_bet,c_4,,,,,,,,,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
6,1,0,True,4,0,False,2,0,True,0,0,True,1,1,True,2,2,3,2,1.0,game_bet,c_3,lose,,,,,,,,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
7,1,0,True,4,0,False,3,0,False,0,0,True,1,1,True,2,2,4,2,2.0,move_camel,c_2,,1.0,,,,,,,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
8,1,0,True,4,0,False,3,0,False,0,0,True,1,1,True,2,2,4,2,3.0,round_winner_bet,c_2,,,,,,,,,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
9,1,0,True,4,0,False,3,0,False,0,0,True,1,1,True,2,2,4,2,0.0,round_winner_bet,c_4,,,,,,,,,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
10,1,0,True,4,0,False,3,0,False,0,0,True,1,1,True,2,2,4,2,1.0,game_bet,c_4,lose,,,,,,,,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
11,3,1,False,4,0,False,3,0,False,0,0,True,3,2,True,2,2,5,2,2.0,move_camel,c_0,,2.0,,,,,,,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
12,3,1,False,4,0,False,3,0,False,3,3,False,3,2,True,2,2,5,3,3.0,move_camel,c_3,,3.0,,,,,,,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
13,3,1,False,4,0,False,3,0,False,3,3,False,3,2,True,2,2,5,3,0.0,round_winner_bet,c_3,,,,,,,,,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
14,3,1,False,4,0,False,3,0,False,3,3,False,3,2,True,2,2,5,3,1.0,game_bet,c_2,win,,,,,,,,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
15,3,1,True,4,0,True,3,0,True,5,1,True,5,0,True,8,2,6,2,2.0,move_camel,c_4,,2.0,,,,,,,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
16,3,1,True,4,0,True,3,0,True,5,1,True,5,0,True,8,2,6,2,3.0,game_bet,c_0,lose,,,,,,,,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
17,3,1,True,4,0,True,3,0,True,5,1,True,5,0,True,8,2,6,2,0.0,round_winner_bet,c_3,,,,,,,,,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
18,3,1,True,4,0,True,3,0,True,5,1,True,5,0,True,8,2,6,2,1.0,move_trap,,,,-1.0,7.0,7.0,-1.0,,,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
19,4,2,True,4,0,True,4,1,False,5,1,True,5,0,True,8,2,7,2,2.0,move_camel,c_2,,1.0,,,7.0,-1.0,,,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
20,4,2,True,4,0,True,4,1,False,6,0,False,5,0,True,8,3,7,3,3.0,move_camel,c_3,,1.0,,,7.0,-1.0,,,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
21,4,2,True,4,0,True,4,1,False,6,0,False,5,0,True,8,3,7,3,0.0,round_winner_bet,c_4,,,,,7.0,-1.0,,,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
22,4,2,True,4,0,True,4,1,False,6,0,False,5,0,True,8,3,7,3,1.0,round_winner_bet,c_4,,,,,7.0,-1.0,,,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
23,4,2,True,4,0,True,4,1,False,6,0,False,6,1,False,8,3,8,3,2.0,move_camel,c_4,,1.0,,,7.0,-1.0,,,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
24,4,2,True,4,0,True,4,1,False,6,0,False,6,1,False,8,3,8,3,3.0,move_trap,,,,-1.0,9.0,7.0,-1.0,9.0,-1.0,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
25,4,2,True,4,0,True,4,1,False,6,0,False,6,1,False,8,3,8,3,0.0,round_winner_bet,c_2,,,,,7.0,-1.0,9.0,-1.0,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
26,4,2,True,4,0,True,4,1,False,6,0,False,6,1,False,8,3,8,3,1.0,round_winner_bet,c_4,,,,,7.0,-1.0,9.0,-1.0,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
27,5,2,True,5,0,False,5,1,False,6,0,False,6,1,False,8,3,9,3,2.0,move_camel,c_1,,1.0,,,7.0,-1.0,9.0,-1.0,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
28,5,2,True,5,0,False,5,1,False,6,0,False,6,1,False,8,3,9,3,3.0,game_bet,c_2,win,,,,7.0,-1.0,9.0,-1.0,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
29,5,2,True,5,0,False,5,1,False,6,0,False,6,1,False,8,3,9,3,0.0,round_winner_bet,c_0,,,,,7.0,-1.0,9.0,-1.0,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
30,5,2,True,5,0,False,5,1,False,6,0,False,6,1,False,8,3,9,3,1.0,round_winner_bet,c_2,,,,,7.0,-1.0,9.0,-1.0,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
31,8,0,True,5,0,True,5,1,True,6,0,True,6,1,True,12,4,10,3,2.0,move_camel,c_0,,3.0,,,7.0,-1.0,9.0,-1.0,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
32,8,0,True,5,0,True,5,1,True,6,0,True,6,1,True,12,4,10,3,3.0,round_winner_bet,c_2,,,,,7.0,-1.0,9.0,-1.0,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
33,8,0,True,5,0,True,5,1,True,6,0,True,6,1,True,12,4,10,3,0.0,round_winner_bet,c_0,,,,,7.0,-1.0,9.0,-1.0,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
34,8,0,True,5,0,True,5,1,True,6,0,True,6,1,True,12,4,10,3,1.0,move_trap,,,,-1.0,11.0,11.0,-1.0,9.0,-1.0,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
35,8,0,True,8,1,False,8,2,True,6,0,True,6,1,True,12,4,11,3,2.0,move_camel,c_1,,3.0,,,11.0,-1.0,9.0,-1.0,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
36,8,0,True,8,1,False,8,2,True,6,0,True,6,1,True,12,4,11,3,3.0,round_winner_bet,c_2,,,,,11.0,-1.0,9.0,-1.0,,,mixed_4player_GreedyAgent_MCTSAgent_RollAgent_RandomAgent_0,GreedyAgent,21,MCTSAgent,20,RollAgent,18,RandomAgent,5,GreedyAgent,,
