round_id,camel_c_0_location,camel_c_0_stack_location,camel_c_0_yet_to_move,camel_c_1_location,camel_c_1_stack_location,camel_c_1_yet_to_move,camel_c_2_location,camel_c_2_stack_location,camel_c_2_yet_to_move,camel_c_3_location,camel_c_3_stack_location,camel_c_3_yet_to_move,camel_c_4_location,camel_c_4_stack_location,camel_c_4_yet_to_move,player_0_coins,player_1_coins,player_2_coins,player_3_coins,active_player,action_type,camel,distance,trap_type,trap_location,player_3_trap_location,player_3_trap_type,player_2_trap_location,player_2_trap_type,bet_type,player_1_trap_location,player_1_trap_type,game_id,player_0_name,player_0_final,player_1_name,player_1_final,player_2_name,player_2_final,player_3_name,player_3_final,winners
0,0,0,True,2,1,True,2,0,True,0,1,True,1,0,True,2,2,2,2,,,,,,,,,,,,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
1,1,1,False,2,1,True,2,0,True,1,2,True,1,0,True,3,2,2,2,0.0,move_camel,c_0,1.0,,,,,,,,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
2,1,1,False,2,1,True,2,0,True,1,2,True,1,0,True,3,2,2,2,1.0,round_winner_bet,c_1,,,,,,,,,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
3,1,1,False,2,1,True,2,0,True,1,2,True,1,0,True,3,2,2,2,2.0,round_winner_bet,c_3,,,,,,,,,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
4,1,1,False,2,1,True,2,0,True,1,2,True,1,0,True,3,2,2,2,3.0,move_trap,,,-1.0,4.0,4.0,-1.0,,,,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
5,3,1,False,2,1,True,2,0,True,3,2,True,3,0,False,4,2,2,2,0.0,move_camel,c_4,2.0,,,4.0,-1.0,,,,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
6,3,1,False,2,1,True,2,0,True,3,2,True,3,0,False,4,2,2,2,1.0,round_winner_bet,c_2,,,,4.0,-1.0,,,,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
7,3,1,False,2,1,True,2,0,True,3,2,True,3,0,False,4,2,2,2,2.0,move_trap,,,1.0,6.0,4.0,-1.0,6.0,1.0,,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
8,3,1,False,2,1,True,2,0,True,3,2,True,3,0,False,4,2,2,2,3.0,round_winner_bet,c_3,,,,4.0,-1.0,6.0,1.0,,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
9,3,1,False,5,0,False,2,0,True,3,2,True,3,0,False,5,2,2,2,0.0,move_camel,c_1,3.0,,,4.0,-1.0,6.0,1.0,,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
10,3,1,False,5,0,False,2,0,True,3,2,True,3,0,False,5,2,2,2,1.0,round_winner_bet,c_3,,,,4.0,-1.0,6.0,1.0,,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
11,3,1,False,5,0,False,5,1,False,3,2,True,3,0,False,5,2,3,2,2.0,move_camel,c_2,3.0,,,4.0,-1.0,6.0,1.0,,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
12,3,1,False,5,0,False,5,1,False,3,2,True,3,0,False,5,2,3,2,3.0,round_winner_bet,c_2,,,,4.0,-1.0,6.0,1.0,,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
13,3,1,True,5,0,True,5,1,True,7,0,True,3,0,True,6,4,9,6,0.0,move_camel,c_3,4.0,,,4.0,-1.0,6.0,1.0,,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
14,3,1,True,5,0,True,5,1,True,7,0,True,3,0,True,6,4,9,6,1.0,round_winner_bet,c_2,,,,4.0,-1.0,6.0,1.0,,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
15,3,1,True,5,0,True,5,1,True,7,0,True,3,0,True,6,4,9,6,2.0,game_bet,c_4,,,,4.0,-1.0,6.0,1.0,lose,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
16,3,1,True,5,0,True,5,1,True,7,0,True,3,0,True,6,4,9,6,3.0,game_bet,c_4,,,,4.0,-1.0,6.0,1.0,lose,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
17,3,1,True,5,0,True,7,1,False,7,0,True,3,0,True,7,4,10,6,0.0,move_camel,c_2,2.0,,,4.0,-1.0,6.0,1.0,,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
18,3,1,True,5,0,True,7,1,False,7,0,True,3,0,True,7,4,10,6,1.0,game_bet,c_4,,,,4.0,-1.0,6.0,1.0,lose,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
19,3,1,True,5,0,True,7,1,False,7,0,True,3,0,True,7,4,10,6,2.0,round_winner_bet,c_2,,,,4.0,-1.0,6.0,1.0,,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
20,3,1,True,5,0,True,7,1,False,7,0,True,3,0,True,7,4,10,6,3.0,round_winner_bet,c_2,,,,4.0,-1.0,6.0,1.0,,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
21,3,0,False,5,0,True,7,1,False,7,0,True,3,1,True,8,4,10,7,0.0,move_camel,c_0,0.0,,,4.0,-1.0,6.0,1.0,,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
22,3,0,False,5,0,True,7,1,False,7,0,True,3,1,True,8,4,10,7,1.0,game_bet,c_0,,,,4.0,-1.0,6.0,1.0,lose,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
23,3,0,False,5,0,True,7,1,False,7,0,True,3,1,True,8,4,10,7,2.0,game_bet,c_0,,,,4.0,-1.0,6.0,1.0,lose,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
24,3,0,False,5,0,True,7,1,False,7,0,True,3,1,True,8,4,10,7,3.0,game_bet,c_0,,,,4.0,-1.0,6.0,1.0,lose,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
25,3,0,False,8,0,False,7,1,False,7,0,True,3,1,True,9,4,10,7,0.0,move_camel,c_1,3.0,,,4.0,-1.0,6.0,1.0,,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
26,3,0,False,8,0,False,7,1,False,7,0,True,3,1,True,9,4,10,7,1.0,game_bet,c_2,,,,4.0,-1.0,6.0,1.0,win,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
27,3,0,False,8,0,False,7,1,False,7,0,True,3,1,True,9,4,10,7,2.0,game_bet,c_2,,,,4.0,-1.0,6.0,1.0,win,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
28,3,0,False,8,0,False,7,1,False,7,0,True,3,1,True,9,4,10,7,3.0,game_bet,c_2,,,,4.0,-1.0,6.0,1.0,win,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
29,3,0,False,8,0,False,10,1,False,10,0,False,3,1,True,10,4,10,7,0.0,move_camel,c_3,3.0,,,4.0,-1.0,6.0,1.0,,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
30,3,0,False,8,0,False,10,1,False,10,0,False,3,1,True,10,4,10,7,1.0,game_bet,c_3,,,,4.0,-1.0,6.0,1.0,win,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
31,3,0,False,8,0,False,10,1,False,10,0,False,3,1,True,10,4,10,7,2.0,game_bet,c_3,,,,4.0,-1.0,6.0,1.0,win,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
32,3,0,False,8,0,False,10,1,False,10,0,False,3,1,True,10,4,10,7,3.0,game_bet,c_3,,,,4.0,-1.0,6.0,1.0,win,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
33,3,1,True,8,0,True,10,1,True,10,0,True,3,0,True,11,9,13,10,0.0,move_camel,c_4,0.0,,,4.0,-1.0,6.0,1.0,,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
34,3,1,True,8,0,True,10,1,True,10,0,True,3,0,True,11,9,13,10,1.0,round_winner_bet,c_2,,,,4.0,-1.0,6.0,1.0,,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
35,3,1,True,8,0,True,10,1,True,10,0,True,3,0,True,11,9,13,10,2.0,round_winner_bet,c_2,,,,4.0,-1.0,6.0,1.0,,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
36,3,1,True,8,0,True,10,1,True,10,0,True,3,0,True,11,9,13,10,3.0,round_winner_bet,c_3,,,,4.0,-1.0,6.0,1.0,,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
37,5,1,True,8,0,True,10,1,True,10,0,True,5,0,False,12,9,13,10,0.0,move_camel,c_4,2.0,,,4.0,-1.0,6.0,1.0,,,,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
38,5,1,True,8,0,True,10,1,True,10,0,True,5,0,False,12,9,13,10,1.0,move_trap,,,1.0,15.0,4.0,-1.0,6.0,1.0,,15.0,1.0,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
39,5,1,True,8,0,True,10,1,True,10,0,True,5,0,False,12,9,13,10,2.0,move_trap,,,1.0,11.0,4.0,-1.0,11.0,1.0,,15.0,1.0,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
40,5,1,True,8,0,True,10,1,True,10,0,True,5,0,False,12,9,13,10,3.0,round_winner_bet,c_3,,,,4.0,-1.0,11.0,1.0,,15.0,1.0,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
41,5,1,True,8,0,True,13,0,False,10,0,True,5,0,False,13,9,13,10,0.0,move_camel,c_2,3.0,,,4.0,-1.0,11.0,1.0,,15.0,1.0,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
42,5,1,True,8,0,True,13,0,False,10,0,True,5,0,False,13,9,13,10,1.0,round_winner_bet,c_2,,,,4.0,-1.0,11.0,1.0,,15.0,1.0,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
43,5,1,True,8,0,True,13,0,False,10,0,True,5,0,False,13,9,13,10,2.0,game_bet,c_1,,,,4.0,-1.0,11.0,1.0,win,15.0,1.0,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
44,5,1,True,8,0,True,13,0,False,10,0,True,5,0,False,13,9,13,10,3.0,game_bet,c_1,,,,4.0,-1.0,11.0,1.0,win,15.0,1.0,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
45,8,1,False,8,0,True,13,0,False,10,0,True,5,0,False,14,9,13,10,0.0,move_camel,c_0,3.0,,,4.0,-1.0,11.0,1.0,,15.0,1.0,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
46,9,1,False,9,0,False,13,0,False,10,0,True,5,0,False,14,10,13,10,1.0,move_camel,c_1,1.0,,,4.0,-1.0,11.0,1.0,,15.0,1.0,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
47,9,1,False,9,0,False,13,0,False,10,0,True,5,0,False,14,10,13,10,2.0,round_winner_bet,c_3,,,,4.0,-1.0,11.0,1.0,,15.0,1.0,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
48,9,1,True,9,0,True,13,0,True,13,1,True,5,0,True,14,12,16,19,3.0,move_camel,c_3,3.0,,,4.0,-1.0,11.0,1.0,,15.0,1.0,fixed_order_4player_g0,RollAgent,16,GreedyAgent,26,GreedyAgent,29,GreedyAgent,26,GreedyAgent
